siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
779924133;42.0;2017.0;1 000 à 1 999 salariés
780043295;41.0;2017.0;500 à 999 salariés
780129987;51.0;2017.0;2 000 à 4 999 salariés
780129987;42.0;2017.0;1 000 à 1 999 salariés
780129987;51.0;2017.0;2 000 à 4 999 salariés
780129987;51.0;2017.0;2 000 à 4 999 salariés
780129987;42.0;2017.0;1 000 à 1 999 salariés
780129987;51.0;2017.0;2 000 à 4 999 salariés
780129987;41.0;2017.0;500 à 999 salariés
780129987;41.0;2017.0;500 à 999 salariés
780129987;41.0;2017.0;500 à 999 salariés
780129987;53.0;2017.0;10 000 salariés et plus
780129987;41.0;2017.0;500 à 999 salariés
780129987;42.0;2017.0;1 000 à 1 999 salariés
780254975;41.0;2017.0;500 à 999 salariés
780503918;41.0;2017.0;500 à 999 salariés
780716171;41.0;2017.0;500 à 999 salariés
780864948;42.0;2017.0;1 000 à 1 999 salariés
780874392;41.0;2017.0;500 à 999 salariés
780901559;42.0;2017.0;1 000 à 1 999 salariés
781065396;51.0;2017.0;2 000 à 4 999 salariés
781112891;41.0;2017.0;500 à 999 salariés
781446521;41.0;2017.0;500 à 999 salariés
781452511;42.0;2017.0;1 000 à 1 999 salariés
781452511;42.0;2017.0;1 000 à 1 999 salariés
781622782;42.0;2017.0;1 000 à 1 999 salariés
781669601;42.0;2017.0;1 000 à 1 999 salariés
781831714;41.0;2017.0;500 à 999 salariés
781847421;42.0;2017.0;1 000 à 1 999 salariés
781847447;41.0;2017.0;500 à 999 salariés
781847488;41.0;2017.0;500 à 999 salariés
781903521;41.0;2017.0;500 à 999 salariés
782021307;42.0;2017.0;1 000 à 1 999 salariés
782596589;41.0;2017.0;500 à 999 salariés
782825558;41.0;2017.0;500 à 999 salariés
782855696;41.0;2017.0;500 à 999 salariés
782879951;42.0;2017.0;1 000 à 1 999 salariés
782885735;51.0;2017.0;2 000 à 4 999 salariés
782921233;42.0;2017.0;1 000 à 1 999 salariés
783204316;41.0;2017.0;500 à 999 salariés
783336068;41.0;2017.0;500 à 999 salariés
783441140;41.0;2017.0;500 à 999 salariés
783697345;41.0;2017.0;500 à 999 salariés
783705841;41.0;2017.0;500 à 999 salariés
783705841;41.0;2017.0;500 à 999 salariés
783712912;41.0;2017.0;500 à 999 salariés
784257164;42.0;2017.0;1 000 à 1 999 salariés
784257164;41.0;2017.0;500 à 999 salariés
784257164;41.0;2017.0;500 à 999 salariés
784280802;41.0;2017.0;500 à 999 salariés
784308249;51.0;2017.0;2 000 à 4 999 salariés
784396079;42.0;2017.0;1 000 à 1 999 salariés
784543480;41.0;2017.0;500 à 999 salariés
784608416;41.0;2017.0;500 à 999 salariés
784621468;42.0;2017.0;1 000 à 1 999 salariés
784670630;41.0;2017.0;500 à 999 salariés
784714008;41.0;2017.0;500 à 999 salariés
784778029;42.0;2017.0;1 000 à 1 999 salariés
784824153;42.0;2017.0;1 000 à 1 999 salariés
784971301;42.0;2017.0;1 000 à 1 999 salariés
785304031;41.0;2017.0;500 à 999 salariés
